Primary Asset ID,Linked ID Used,Issue Name,Coupon,Maturity Date,AB Price Currency,User Entered By,Price,Provider,As Of Date,Ultimate Source,Effective Date,Investment Type,Issue Type,Held By Fund,BP Level,Price Source,Program Type,Accrual Type,Investment Type Description,Vendor Price,Country Of Origin,Vendor Currency,Issue Type Description,Update Date,Program Type Description,Bid Price,Restricted,Bid Provider,Underlying Category Description,Bid Update Date,Bid Update Source,Mid Price,Mid Provider,Mid Update Date,Mid Update Source,Vendor Classification 1,Vendor Classification 2,Vendor Classification 3,Vendor Classification 4,Volume,Underlying Category,Moody Ratings,S&P Ratings,Fitch Ratings,DBRS Ratings,Internal Ratings,BP Rule Number,Ask Price,Ask Provider,Ask Update Date,Ask Update Source,FAS Rule Number,FAS Level Comments,FAS Override Flag,Issuer Type,Source Name,ISIN,CUSIP,SEDOL,Ticker,Vendor Identifier,Issuer Type Description,User,Environment,Cycle,Report Run date,Issue Short Name,Ultimate Source Description,Country Of Issue,Risk Country,Exchange,Camra Cusip,ADP Number,Fund ID,CINS,Calypso ID,Expanded Ticker,Calypso Ref ID,Reuters Instrument Code,External Pool ID,Dummy ID Indicator,Bloomberg Global ID,Bloomberg ID,Bloomberg Uniq Sec ID,Talf Loan ID,Wso Loanx ID,Spintl ID,Srm ID,Lz ID,IS Cash,First Mastered Cycle,Vendor Evaluated Price,Include In Custodian Feed,Evaluated Price,Illiquid Date,Actively Held Flag,Vendor Commentary,Clean/Dirty Flag,Inflation flag,Factor,Clean Bid,Dirty Bid,Halt/Suspension Flag,Trade indirect,Contributors,Shares outstanding (Vendor),Exchange Code (Vendor),Vendor Stale Count,Vendor Stale Commentary,Vendor Variance Commentary,Vendor Liquidity Score,Class,Roll Price Day Count
EA6B4L2,,EURO FX CURR FUTURE JUN22,,6/13/2022,USD,System Unpriced Roll,1.11925,BMGCUR,3/30/2022,BMGCUR,3/31/2022,DV,FUT,FALSE,1,ABPRICE,,,Derivatives,1.11925,EU,USD,Future,3/31/2022,,1.11895,,BMGCUR,FOREIGN EXCHANGE (FX),3/30/2022,BMGCUR,,,,,Currency,Currency future.,Currency,,,FOREX,,,,,,10,1.119,BMGCUR,3/30/2022,BMGCUR,2A-DV,Derivative Futures priced by vendor,0,E,AB Best Price,,,EA6B4L2,ECM2,BBG00GX8YC60,Exchange,AC\epmprd_svc,,PostEOD,3/31/2022,EURO FX CURR FUTURE,Bloomberg Currencies,US,EU,CME,,,,,,ECM2 CURNCY,,,,Y,BBG00GX8YC60,,IX35886116-0,,,,CI8006KAO,CI8006KAO,FALSE,EarlyUS,,FALSE,,,FALSE,,,,,,,,,,643982,Chicago Mercantile Exchange,,,,,,1
EA6B7J1,,INR/USD APR22,,4/27/2022,USD,BMGASIA,131.74,BMGCUR,3/31/2022,BMGCUR,3/31/2022,DV,FUT,FALSE,1,ABPRICE,,,Derivatives,131.74,IN,USD,Future,3/31/2022,,131.68,,BMGCUR,FOREIGN EXCHANGE (FX),3/31/2022,BMGCUR,,,,,Currency,Currency future.,Currency,,36198,FOREX,,,,,,10,131.74,BMGCUR,3/31/2022,BMGCUR,2A-DV,Derivative Futures priced by vendor,0,E,AB Best Price,SGXDB0525996,,EA6B7J1,XIDJ2,BBG0101NJ5Y7,Exchange,AC\epmprd_svc,,EarlyUS,3/31/2022,INR/USD,Bloomberg Currencies,US,IN,SIMEX,,,,,,XIDJ2 CURNCY,,,,Y,BBG0101NJ5Y7,,IX53664072-0,,,,CI8006KDE,CI8006KDE,FALSE,EarlyUS,,FALSE,,,FALSE,,,,,,,,,,66439,Singapore Exchange (was SIMEX),,,,,,0
36225CB62,,GNMAII ARM,1.875,4/20/2027,USD,BEAR,101.0054,BEAR,3/31/2022,BEAR,3/31/2022,AB,MBS,FALSE,2,ABPRICE,GNMAII,PER,Structured Product,101.0054,US,USD,MBS - Pass Through,3/31/2022,GNMA II,101.0054,,,ARM,,,101.083525,,,,ARM,,,,,ARM,Aaa,AA+,AAA,AAA,AAA,7,101.16165,,,,17AB-AB,MBS Pass Through; Vendor priced,0,G,AB Best Price,US36225CB625,36225CB62,AH56701,,36225CB62,Government Agency,AC\epmprd_svc,,EarlyUS,3/31/2022,GNMAII ARM,JPMorgan Pricing Direct,US,US,OTC,36225CB62,64800600,,,,,,,,N,BBG0000T4L68,36225CB62,MGG280060,,,,LZ007084681,LZ007084681,FALSE,EarlyUS,101.0054,FALSE,101.0054,,TRUE,,,,,,,,,,,,,,,,,0
IS2EO51,,2I65BRYQ7-5/18/2022-RTP-630176,,5/18/2022,USD,CALYPSO,0.20541,CALYPSO,3/31/2022,CALYPSO,3/31/2022,DV,SWPT,TRUE,2,ABPRICE,PUTS,,Derivatives,0.20541,US,USD,Swaptions,3/31/2022,Option Puts,,,,CDS SWAPtion,,,,,,,,,,,,CDSWPTN,,,,,BB-,26,,,,,6A-DV,Derivative Swaptions priced by vendor,0,C,AB Best Price,,,IS2EO51,,IS2EO51,Corporate,AC\epmprd_svc,,EarlyUS,3/31/2022,2I65BRYQ7-5/18/2022-RTP-630176,Calypso,US,US,OTC,,,,,28972,,2I65BRYQ7-5/18/2022-RTP-630176,,,Y,,,,,,13332038,LZ009031056,LZ009031056,FALSE,EarlyUS,0.20541,FALSE,0.20541,,TRUE,,,,,,,,,,,,,,,,,0
AK80400,,NZD/USD 04/07/22  0.625 P NZD/USD,,4/7/2022,NZD,CALYPSO,0.000001,CALYPSO,3/31/2022,CALYPSO,3/31/2022,DV,OPTO,TRUE,2,ABPRICE,PUTS,,Derivatives,0.000001,NZ,NZD,OTC Options,3/31/2022,Option Puts,,,,CURRENCIES (FX),,,,,,,,,,,,CURR,,,,,,26,,,,,3A-DV,Derivative Exchange Traded Options or OTC Options priced by vendor,0,C,AB Best Price,,,AK80400,,AK80400,Corporate,AC\epmprd_svc,,EarlyUS,3/31/2022,NZD/USD 04/07/22  0.625 P,Calypso,NZ,NZ,OTC,,,,,1224847,,NZD/USD 0.62 07Apr22 PUT 618678,,,Y,,,,,,,LZ008934700,LZ008934700,FALSE,EarlyUS,0.000001,FALSE,0.000001,,TRUE,,,,,,,,,,,,,,,,,0
31346AGC3,,FHLMC ARM,5.548,11/1/2030,USD,BEAR,109.3397,BEAR,3/31/2022,BEAR,3/31/2022,AB,MBS,FALSE,2,ABPRICE,FHLMC,PER,Structured Product,109.3397,US,USD,MBS - Pass Through,3/31/2022,Federal Home Loan Mortgage Corporation,109.3397,,,FHLMC ARM,,,109.542825,,,,ARM,,,,,FHARM,Aaa,AA+,AAA,AAA,AAA,7,109.74595,,,,17AB-AB,MBS Pass Through; Vendor priced,0,G,AB Best Price,US31346AGC36,31346AGC3,AH55742,,31346AGC3,Government Agency,AC\epmprd_svc,,EarlyUS,3/31/2022,FHLMC ARM,JPMorgan Pricing Direct,US,US,OTC,31346AGC3,14201950,,,,,,,,N,BBG0001Q8VS3,31346AGC3,MGFH420195,,,,LZ007083688,LZ007083688,FALSE,EarlyUS,109.3397,FALSE,109.3397,,TRUE,,,,,,,,,,,,,,,,,0
31292DA86,,FHLMC ARM,2.25,4/1/2022,USD,BEAR,99.6885,BEAR,3/31/2022,BEAR,3/31/2022,AB,MBS,FALSE,2,ABPRICE,FHLMC,PER,Structured Product,99.6885,US,USD,MBS - Pass Through,3/31/2022,Federal Home Loan Mortgage Corporation,99.6885,,,FHLMC ARM,,,99.766625,,,,ARM,,,,,FHARM,Aaa,AA+,AAA,AAA,AAA,7,99.84475,,,,17AB-AB,MBS Pass Through; Vendor priced,0,G,AB Best Price,US31292DA869,31292DA86,AH56239,,31292DA86,Government Agency,AC\epmprd_svc,,EarlyUS,3/31/2022,FHLMC ARM,JPMorgan Pricing Direct,US,US,OTC,31292DA86,17101060,,,,,,,,N,BBG00077T5W8,31292DA86,MGFH710106,,,,LZ007084019,LZ007084019,FALSE,EarlyUS,99.6885,FALSE,99.6885,,TRUE,,,,,,,,,,,,,,,,,0
G63202157,,MT LOGAN RE LTD PREF SHS U-1 SER 2,,,USD,AC\pshelk,918.157302,UDL,3/31/2022,ILS,3/31/2022,EQ,STK,TRUE,3,ABPRICE,PRCE,,Equity,918.157302,BM,USD,Common Stock/Ordinary Share,3/31/2022,Preference,,,,Catastrophe Bond,,,,,,,,,,,,CATBOND,,,,,,11,,,,,1BB-EQ,Equity common stock priced by broker or FV,0,C,AB Best Price,BMG632021579,G63202157,AE18658,AE18658,G63202157,Corporate,AC\epmprd_svc,,EarlyUS,3/31/2022,MT LOGAN RE LTD,BROKER,US,US,OTC,G63202157,,,G63202157,,,,,,N,,,,,,9080758,LZ005840277,LZ005840277,FALSE,EarlyUS,918.157302,TRUE,918.157302,,TRUE,,,,,,,,,,,Broker Priced,,,,,,0
EA7C6G3,,IBOXX ISHR BND ID JUL22,,7/1/2022,USD,BMGNAMR1,143.81,BMGIND,3/31/2022,BMGIND,3/31/2022,DV,FUT,FALSE,1,ABPRICE,,,Derivatives,143.81,US,USD,Future,3/31/2022,,,,,COMMODITIES INDEX,,,,,,,Index,Physical index future.,Non-Equity Index,,,COMMIND,,,,,,10,,,,,2A-DV,Derivative Futures priced by vendor,0,E,AB Best Price,,,EA7C6G3,IBYN2,BBG015QQ9QF8,Exchange,AC\epmprd_svc,,EarlyUS,3/31/2022,IBOXX ISHR BND ID,Bloomberg Indexes,US,US,CFE,,,,,,IBYN2 INDEX,,,,Y,BBG015QQ9QF8,,IX54410237-0,,,,CI800BTIH,CI800BTIH,FALSE,EarlyUS,,FALSE,,,FALSE,,,,,,,,,,0,Cboe Futures Exchange,,,,,,0
EA6B6Q1,,MEXICAN PESO FUTURE JUN22,,6/13/2022,USD,System Unpriced Roll,4.96,BMGCUR,3/30/2022,BMGCUR,3/31/2022,DV,FUT,FALSE,1,ABPRICE,,,Derivatives,4.96,MX,USD,Future,3/31/2022,,4.967,,BMGCUR,FOREIGN EXCHANGE (FX),3/30/2022,BMGCUR,,,,,Currency,Currency future.,Currency,,,FOREX,,,,,,10,4.968,BMGCUR,3/30/2022,BMGCUR,2A-DV,Derivative Futures priced by vendor,0,E,AB Best Price,,,EA6B6Q1,PEM2,BBG00Y3Z32Y9,Exchange,AC\epmprd_svc,,PostEOD,3/31/2022,MEXICAN PESO FUTURE,Bloomberg Currencies,US,MX,CME,,,,,,PEM2 CURNCY,,,,Y,BBG00Y3Z32Y9,,IX53140215-0,,,,CI8006KCB,CI8006KCB,FALSE,EarlyUS,,FALSE,,,FALSE,,,,,,,,,,157706,Chicago Mercantile Exchange,,,,,,1
